phrase,category,d_speeches,r_speeches,total,percent_of_d_speeches,percent_of_r_speeches,chi2,pval,position,index,x,y,vy,vx,sourceX,sourceY,moveX,moveY,correctedY
minimum wage,economy/fiscal issues,9,0,9,39.13,0,10.56521739,0.001152355,-39.13,0,110.35734760175804,0,0,-7.677489467869409e-212,110.35734760175804,0,110.35734760175804,0,0
clean energy,energy/environment,11,1,12,47.83,3.7,10.07461084,0.001503264,-44.129999999999995,1,67.78868859255577,129.96067801196546,0.000006114379820506921,-4.382692125881604e-15,67.78868859255577,3.2627627533642807e-14,67.78868859255577,129.96067801196546,-0.03932198803454412
climate change,energy/environment,13,2,15,56.52,7.41,9.986580784,0.001576851,-49.11,2,26.920504490731886,129.9606781328506,0.000006114381464867767,-1.9193723669673522e-212,26.920504490731886,3.262762753382392e-14,26.920504490731886,129.9606781328506,-0.039321867149396894
gun violence,crime/justice,8,0,8,34.78,0,9.391304348,0.00218017,-34.78,3,146.7251098796102,259.9213393409447,0.000012231394656675655,-8.835210566404313e-17,149.35224585750046,-0.05600054306144346,146.7251098796102,259.9213393409447,-0.07866065905528785
education need,education,7,0,7,30.43,0,8.217391304,0.00414908,-30.43,4,183.09287215746207,389.8833810940719,0.000018133739024921622,2.650563169921293e-16,180.3262455020236,7.348034443764588,183.09287215746207,389.8833810940719,-0.11661890592807822
affordable care act,health care,9,1,10,39.13,3.7,7.793880837,0.005242347,-35.43,5,141.29084655073564,515.8427112679108,0.000024457722332802214,7.512059142359083e-17,142.85892681813777,-4.005658756893176,141.29084655073564,515.8427112679108,-4.157288732089228
middle class,economy/fiscal issues,9,1,10,39.13,3.7,7.793880837,0.005242347,-35.43,6,141.2908465507356,0.000016236036830019166,-2.5246339976477844e-9,1.3252815849606466e-16,135.9625284538123,0.053810790915156746,141.2908465507356,0.000016236036830019166,0.000016236036830019166
sick,health care,9,1,10,39.13,3.7,7.793880837,0.005242347,-35.43,7,141.2908465507358,523.8427112679108,0.00002445772232118706,-1.6347269708763396e-16,142.9231042381659,3.997208405858102,141.2908465507358,523.8427112679108,3.842711267910772
students state,education,6,0,6,26.09,0,7.043478261,0.007955439,-26.09,8,219.377030384101,389.88257289136567,0.00001825941107472672,-2.2088026416010778e-16,228.0093362665705,1.6674388839398138,219.377030384101,389.88257289136567,-0.11742710863433103
gun safety,crime/justice,6,0,6,26.09,0,7.043478261,0.007955439,-26.09,9,219.4838535488999,266.7385113712751,0.0000121318588062974,-4.504526634509231e-15,222.0790621967739,0.16470212439314885,219.4838535488999,266.7385113712751,6.738511371275081
prison,crime/justice,5,20,25,21.74,74.07,6.803542673,0.009097718,52.33,10,875,259.9213562657012,0.000012228762929735535,-6.141991574295527e-211,875,6.525525506764785e-14,875,259.9213562657012,-0.07864373429879379
business community,economy/fiscal issues,8,1,9,34.78,3.7,6.664698515,0.009834129,-31.080000000000002,11,177.65860882858743,-3.8000064200127,9.982842904209498e-10,4.771628041831675e-16,171.09609052987653,-3.5561094769637407,177.65860882858743,-3.8000064200127,-3.8000064200127
economic success,economy/fiscal issues,8,1,9,34.78,3.7,6.664698515,0.009834129,-31.080000000000002,12,177.65860882858811,3.7999935799873,9.982845147206952e-10,-4.771628041831675e-16,174.24388262446254,3.5052199479598047,177.65860882858811,3.7999935799873,3.7999935799873
doing business,economy/fiscal issues,0,7,7,0,25.93,5.962962963,0.014609469,25.93,13,656.7202677765497,6.007937685736992,-0.000007512441602180699,-0.000001215652439179836,664.03845816595,7.6066072890814596,656.7202677765497,6.007937685736992,6.007937685736992
